iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
IRN,Asia,Iran,2020-03-01,978.0,385.0,133.571,54.0,11.0,6.571,11.644,4.584,1.59,0.643,0.131,0.078,5.0,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-02,1501.0,523.0,205.714,66.0,12.0,7.714,17.871,6.227,2.449,0.786,0.143,0.092,4.57,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-03,2336.0,835.0,320.143,77.0,11.0,8.714,27.812,9.941,3.812,0.917,0.131,0.104,4.23,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-04,2922.0,586.0,397.571,92.0,15.0,10.429,34.789,6.977,4.733,1.095,0.179,0.124,2.75,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-05,3513.0,591.0,466.857,107.0,15.0,11.571,41.825,7.036,5.558,1.274,0.179,0.138,2.36,,,,,,,,,,,,,,,,,,,,,,,42.59,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-06,4747.0,1234.0,622.714,124.0,17.0,12.857,56.517,14.692,7.414,1.476,0.202,0.153,2.89,,,,,,,,,,,,,,,,,,,,,,,42.59,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-07,5823.0,1076.0,747.143,145.0,21.0,14.571,69.327,12.811,8.895,1.726,0.25,0.173,2.23,,,,,,,,,,,,,,,,,,,,,,,42.59,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-08,6566.0,743.0,798.286,194.0,49.0,20.0,78.173,8.846,9.504,2.31,0.583,0.238,1.53,,,,,,,,,,,,,,,,,,,,,,,42.59,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-09,7161.0,595.0,808.571,237.0,43.0,24.429,85.257,7.084,9.627,2.822,0.512,0.291,1.25,,,,,,,,,,,,,,,,,,,,,,,42.59,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
IRN,Asia,Iran,2020-03-10,8042.0,881.0,815.143,291.0,54.0,30.571,95.746,10.489,9.705,3.465,0.643,0.364,1.44,,,,,,,,,,,,,,,,,,,,,,,42.59,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.798
